i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,1.313e+01,9.797e-01,9.599e-01,1.286e+01
2,1.286e+01,9.534e-01,9.089e-01,1.226e+01
3,1.226e+01,9.869e-01,9.740e-01,1.210e+01
4,1.210e+01,9.375e-01,8.788e-01,1.135e+01
5,1.135e+01,9.659e-01,9.329e-01,1.096e+01
6,1.096e+01,9.808e-01,9.619e-01,1.075e+01
7,1.075e+01,9.709e-01,9.426e-01,1.044e+01
8,1.044e+01,9.975e-01,9.950e-01,1.041e+01
9,1.041e+01,9.955e-01,9.910e-01,1.036e+01
10,1.036e+01,9.195e-01,8.455e-01,9.529e+00
11,9.529e+00,9.545e-01,9.110e-01,9.095e+00
12,9.095e+00,9.960e-01,9.920e-01,9.058e+00
13,9.058e+00,9.397e-01,8.830e-01,8.512e+00
14,8.512e+00,9.674e-01,9.359e-01,8.235e+00
15,8.235e+00,9.685e-01,9.379e-01,7.975e+00
16,7.975e+00,9.640e-01,9.293e-01,7.688e+00
17,7.688e+00,9.684e-01,9.378e-01,7.445e+00
18,7.445e+00,9.778e-01,9.561e-01,7.280e+00
19,7.280e+00,9.669e-01,9.349e-01,7.039e+00
20,7.039e+00,9.665e-01,9.341e-01,6.803e+00
21,6.803e+00,9.500e-01,9.025e-01,6.463e+00
22,6.463e+00,9.814e-01,9.631e-01,6.343e+00
23,6.343e+00,9.783e-01,9.571e-01,6.205e+00
24,6.205e+00,9.697e-01,9.403e-01,6.017e+00
25,6.017e+00,9.382e-01,8.803e-01,5.646e+00
26,5.646e+00,9.525e-01,9.073e-01,5.378e+00
27,5.378e+00,9.403e-01,8.842e-01,5.057e+00
28,5.057e+00,9.646e-01,9.304e-01,4.878e+00
29,4.878e+00,9.554e-01,9.127e-01,4.660e+00
30,4.660e+00,9.537e-01,9.095e-01,4.444e+00
31,4.444e+00,9.781e-01,9.567e-01,4.347e+00
32,4.347e+00,9.385e-01,8.809e-01,4.080e+00
33,4.080e+00,8.839e-01,7.814e-01,3.606e+00
34,3.606e+00,9.796e-01,9.596e-01,3.533e+00
35,3.533e+00,9.666e-01,9.343e-01,3.415e+00
36,3.415e+00,8.824e-01,7.787e-01,3.013e+00
37,3.013e+00,9.554e-01,9.128e-01,2.879e+00
38,2.879e+00,8.891e-01,7.906e-01,2.560e+00
39,2.560e+00,9.650e-01,9.312e-01,2.470e+00
40,2.470e+00,8.776e-01,7.703e-01,2.168e+00
41,2.168e+00,8.040e-01,6.464e-01,1.743e+00
42,1.743e+00,9.568e-01,9.154e-01,1.668e+00
43,1.668e+00,9.003e-01,8.106e-01,1.501e+00
44,1.501e+00,9.125e-01,8.326e-01,1.370e+00
45,1.370e+00,8.196e-01,6.717e-01,1.123e+00
46,1.123e+00,8.745e-01,7.648e-01,9.820e-01
47,9.820e-01,6.667e-01,4.446e-01,6.547e-01
48,6.547e-01,3.692e-01,1.363e-01,2.417e-01
49,2.417e-01,6.740e-01,4.543e-01,1.629e-01
50,1.629e-01,-,-,-
