i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,1.956e+01,9.648e-01,9.308e-01,1.887e+01
2,1.887e+01,9.877e-01,9.756e-01,1.864e+01
3,1.864e+01,9.767e-01,9.539e-01,1.820e+01
4,1.820e+01,9.783e-01,9.570e-01,1.781e+01
5,1.781e+01,9.832e-01,9.667e-01,1.751e+01
6,1.751e+01,9.911e-01,9.824e-01,1.735e+01
7,1.735e+01,9.707e-01,9.423e-01,1.684e+01
8,1.684e+01,9.741e-01,9.490e-01,1.641e+01
9,1.641e+01,9.808e-01,9.620e-01,1.609e+01
10,1.609e+01,9.863e-01,9.728e-01,1.587e+01
11,1.587e+01,9.931e-01,9.862e-01,1.576e+01
12,1.576e+01,9.862e-01,9.726e-01,1.555e+01
13,1.555e+01,9.678e-01,9.366e-01,1.504e+01
14,1.504e+01,9.804e-01,9.613e-01,1.475e+01
15,1.475e+01,9.902e-01,9.805e-01,1.461e+01
16,1.461e+01,9.944e-01,9.888e-01,1.452e+01
17,1.452e+01,9.857e-01,9.717e-01,1.432e+01
18,1.432e+01,9.936e-01,9.873e-01,1.423e+01
19,1.423e+01,9.753e-01,9.512e-01,1.387e+01
20,1.387e+01,9.983e-01,9.966e-01,1.385e+01
21,1.385e+01,9.897e-01,9.794e-01,1.371e+01
22,1.371e+01,9.637e-01,9.286e-01,1.321e+01
23,1.321e+01,9.909e-01,9.819e-01,1.309e+01
24,1.309e+01,9.741e-01,9.488e-01,1.275e+01
25,1.275e+01,9.936e-01,9.872e-01,1.267e+01
26,1.267e+01,9.734e-01,9.475e-01,1.233e+01
27,1.233e+01,9.925e-01,9.850e-01,1.224e+01
28,1.224e+01,9.795e-01,9.594e-01,1.199e+01
29,1.199e+01,9.931e-01,9.862e-01,1.190e+01
30,1.190e+01,9.809e-01,9.621e-01,1.168e+01
31,1.168e+01,9.802e-01,9.608e-01,1.144e+01
32,1.144e+01,9.666e-01,9.343e-01,1.106e+01
33,1.106e+01,9.774e-01,9.553e-01,1.081e+01
34,1.081e+01,9.781e-01,9.567e-01,1.058e+01
35,1.058e+01,9.919e-01,9.838e-01,1.049e+01
36,1.049e+01,9.712e-01,9.432e-01,1.019e+01
37,1.019e+01,9.902e-01,9.805e-01,1.009e+01
38,1.009e+01,9.850e-01,9.702e-01,9.936e+00
39,9.936e+00,9.711e-01,9.430e-01,9.649e+00
40,9.649e+00,9.944e-01,9.887e-01,9.594e+00
41,9.594e+00,9.784e-01,9.573e-01,9.387e+00
42,9.387e+00,9.839e-01,9.680e-01,9.236e+00
43,9.236e+00,9.905e-01,9.811e-01,9.148e+00
44,9.148e+00,9.722e-01,9.451e-01,8.894e+00
45,8.894e+00,9.656e-01,9.324e-01,8.588e+00
46,8.588e+00,9.878e-01,9.758e-01,8.483e+00
47,8.483e+00,9.962e-01,9.924e-01,8.451e+00
48,8.451e+00,9.827e-01,9.656e-01,8.305e+00
49,8.305e+00,9.762e-01,9.529e-01,8.107e+00
50,8.107e+00,9.667e-01,9.346e-01,7.837e+00
51,7.837e+00,9.934e-01,9.869e-01,7.786e+00
52,7.786e+00,9.726e-01,9.460e-01,7.573e+00
53,7.573e+00,9.592e-01,9.200e-01,7.264e+00
54,7.264e+00,9.891e-01,9.782e-01,7.184e+00
55,7.184e+00,9.887e-01,9.776e-01,7.103e+00
56,7.103e+00,9.922e-01,9.844e-01,7.048e+00
57,7.048e+00,9.530e-01,9.083e-01,6.717e+00
58,6.717e+00,9.850e-01,9.703e-01,6.616e+00
59,6.616e+00,9.707e-01,9.423e-01,6.423e+00
60,6.423e+00,9.589e-01,9.195e-01,6.159e+00
61,6.159e+00,9.909e-01,9.819e-01,6.103e+00
62,6.103e+00,9.585e-01,9.186e-01,5.849e+00
63,5.849e+00,9.729e-01,9.465e-01,5.691e+00
64,5.691e+00,9.770e-01,9.546e-01,5.560e+00
65,5.560e+00,9.537e-01,9.096e-01,5.303e+00
66,5.303e+00,9.844e-01,9.691e-01,5.220e+00
67,5.220e+00,9.801e-01,9.606e-01,5.116e+00
68,5.116e+00,9.751e-01,9.508e-01,4.989e+00
69,4.989e+00,9.497e-01,9.019e-01,4.738e+00
70,4.738e+00,9.573e-01,9.165e-01,4.536e+00
71,4.536e+00,9.484e-01,8.994e-01,4.301e+00
72,4.301e+00,9.676e-01,9.363e-01,4.162e+00
73,4.162e+00,9.933e-01,9.867e-01,4.134e+00
74,4.134e+00,9.686e-01,9.382e-01,4.005e+00
75,4.005e+00,9.756e-01,9.518e-01,3.907e+00
76,3.907e+00,9.049e-01,8.189e-01,3.535e+00
77,3.535e+00,9.743e-01,9.494e-01,3.445e+00
78,3.445e+00,9.622e-01,9.257e-01,3.314e+00
79,3.314e+00,9.545e-01,9.111e-01,3.164e+00
80,3.164e+00,9.640e-01,9.292e-01,3.050e+00
81,3.050e+00,8.680e-01,7.535e-01,2.647e+00
82,2.647e+00,9.878e-01,9.758e-01,2.615e+00
83,2.615e+00,9.745e-01,9.497e-01,2.548e+00
84,2.548e+00,9.263e-01,8.581e-01,2.361e+00
85,2.361e+00,9.591e-01,9.198e-01,2.264e+00
86,2.264e+00,9.130e-01,8.336e-01,2.067e+00
87,2.067e+00,8.888e-01,7.899e-01,1.837e+00
88,1.837e+00,9.253e-01,8.562e-01,1.700e+00
89,1.700e+00,9.224e-01,8.509e-01,1.568e+00
90,1.568e+00,8.417e-01,7.084e-01,1.320e+00
91,1.320e+00,7.949e-01,6.318e-01,1.049e+00
92,1.049e+00,9.975e-01,9.950e-01,1.046e+00
93,1.046e+00,7.913e-01,6.262e-01,8.281e-01
94,8.281e-01,7.359e-01,5.415e-01,6.094e-01
95,6.094e-01,8.933e-01,7.980e-01,5.444e-01
96,5.444e-01,7.405e-01,5.483e-01,4.031e-01
97,4.031e-01,8.567e-01,7.339e-01,3.453e-01
98,3.453e-01,5.760e-01,3.318e-01,1.989e-01
99,1.989e-01,6.393e-01,4.087e-01,1.272e-01
